Gene	Family Member	PMID	Species	Experimental Tissue(s)	Cell line	Experiment	# Replicates	Control	Quality/Fold Change
Inr lambda 5		7870572	Mouse		pre-B cell line 230-238	Reporter Gene Assay	NA	 cell line co-transfected with no expression vector	High
Pax-3	C	12095979	Mouse	Embyronic Fibroblasts	NIH3T3	Reporter Gene Assay	NA	NIH3T3 cells co-transfected with null expression vector	High
Pax-3	N	12095979	Mouse	Embyronic Fibroblasts	NIH3T3	Reporter Gene Assay	NA	NIH3T3 cells co-transfected with null expression vector	High
Pax-3	N	12095979	Monkey	Kidney	Cos-7	EMSA	NA	Cos-7 transfected with empty expression vector	Medium
Pax-3	C	12095979	Monkey	Kidney	Cos-7	EMSA	NA	Cos-7 transfected with empty expression vector	Medium
Pax-3	N	12095979	Mouse	neuroblastoma	C1300	q-PCR	NA	Levels of Pax-3 mRNA are expressed relative to the level of Pax-3 expression detected in SK-N-SH cells, 	High
Pax-3	N	12095979	Human	neuroblastoma	SHSY-5Y	q-PCR	NA	Levels of Pax-3 mRNA are expressed relative to the level of Pax-3 expression detected in SK-N-SH cells,	High
Pax-3	N	12095979	Human	neuroblastoma	SK-N-AS	q-PCR	NA	Levels of Pax-3 mRNA are expressed relative to the level of Pax-3 expression detected in SK-N-SH cells,	High
Pax-3	N	12095979	Human	neuroblastoma	SK-N-BE	q-PCR	NA	Levels of Pax-3 mRNA are expressed relative to the level of Pax-3 expression detected in SK-N-SH cells,	High
Pax-3	N	12095979	Human	neuroblastoma	SK-N-DZ	q-PCR	NA	Levels of Pax-3 mRNA are expressed relative to the level of Pax-3 expression detected in SK-N-SH cells,	High
Pax-3	N	12095979	Human	neuroblastoma	IMR-32	q-PCR	NA	Levels of Pax-3 mRNA are expressed relative to the level of Pax-3 expression detected in SK-N-SH cells,	High
Pax-3	N	12095979	Human	neuroblastoma	Kelly. B	q-PCR	NA	Levels of Pax-3 mRNA are expressed relative to the level of Pax-3 expression detected in SK-N-SH cells,	High
Pax-3	N	12095979	Mouse	neuroblastoma	ND-7	q-PCR	NA	Levels of Pax-3 mRNA are expressed relative to the level of Pax-3expression detected in the ND7 cell line transfected with an empty expression vector (V1)	High
Pax-3	C	12095979	Mouse	neuroblastoma	ND-7	q-PCR	NA	Levels of Pax-3 mRNA are expressed relative to the level of Pax-3 expression detected in V1 cells without OHt treatment	High
MT-MC1	C	11909865	Rat	 myeloid cells 	32D	Northern Blot	NA	32D-neo;(GAPDH) probe as a control for RNA loading	High
MT-MC1	C	11909865	Monkey	Kidney	Cos-7	Reporter Gene Assay	NA	 transiently transfected with the pEGFP-C1 vector/ GFP only	Medium
MT-MC1	C	11909865	Monkey	Kidney	Cos-7	Western Blot	NA	transiently transfected with the pEGFP-C1 vector/ GFP only	Medium
MT-MC1	C	11909865	Rat	Fibroblasts	 Rat1a	Reporter Gene Assay	NA	Rat1a-neo 	High
MT-MC1	C	11909865	Rat	Fibroblasts	Rat1a-MT-MC1 	Western Blot	NA	 clones transfected with the control neo vector	High
MT-MC1	C	11909865	Rat	myeloid cells	 32D-MT-MC1 	Western Blot	NA	clones transfected with the control neo vector	High
MT-MC1	C	11909865	Rat	myeloid cells	NA	EMSA	NA		
MT-MC1	C	11909865	Rat	myeloid cells	NA	Western Blot	NA		
LDH-A	C	9192621	Rat	Fibroblasts	Rat1a	RNase protection	NA	Rat1a/Vimentin	High
LDH-A	C	9192621	Rat	Fibroblasts	Rat1a	Nuclear Run-on	NA	Rat1a/Vimentin	High/6.7
LDH-A	C	9192621	Rat	Fibroblasts	Rat1a	Northern Blot	NA	Rat1a/Vimentin	High/-2.5
HSP 90β	C	12145275	Rat	embryonic fibroblasts	TGR-1,  HO15.19	Northern Blot	NA	HO15.19, HO15.19-GFP,	High
Lamp-2	C	12145275	Rat	embryonic fibroblasts	TGR-1,  HO15.19	Northern Blot	NA	HO15.19, HO15.19-GFP,	High
KIAA0664	C	12145275	Rat	embryonic fibroblasts	Rat1	Northern Blot	NA	EF-GFP, Rat1-MycER-OH-T	High
MCM6	C	12145275	Rat	embryonic fibroblasts	Rat1	Northern Blot	NA	EF-GFP, Rat1-MycER-OH-T	High
DANCE	C	12145275	Rat	embryonic fibroblasts	EF	Northern Blot	NA	EF-GFP	High
APEX	C	12145275	Rat	embryonic fibroblasts	  TGR-1	Northern Blot	NA	HO15.19,	High
36B4	C	12145275	Rat	embryonic fibroblasts	TGR-1	Northern Blot	NA	HO15.19,	High
PBK,TOPK	C	23237560	Human	Daudi cells	NA	Reporter Gene Assay	NA	pPBK-luc-wt	
PBK,TOPK	C	23237560	Human	Daudi cells	NA	Reporter Gene Assay	NA	pPBK-luc-wt	
