Gene	Family Member	PMID	Species	Experimental Tissue(s)	Cell line	Experiment	# Replicates	Control	Quality/Fold Change
AA711028	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.4
U75680	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.7 ± 0.2
M26391	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.6
U19596	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.3
AA059527	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.5 ± 0.3
U69488	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.5 ± 1.0
AJ002390	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	6.8 ± 3.4
AA002747	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.9 ± 0.1
AA002925	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	5.3 ± 2.4
AA051276	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.7 ± 1.0
AA117100	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	1.9 ± 0.2
AA154451	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.7 ± 0.9
AA184798	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.6
AA189300	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.2 ± 1.1
AA189313	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.0 ± 0.6
AA200970	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.3
AA266783	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.4 ± 0.3
AA285553	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.9 ± 1.4
AA407737	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	7.6 ± 2.6
AA426917	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.6 ± 0.3
AA516966	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	11.5 ± 3.5
AA561108	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.1 ± 0.2
AA590750	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.6 ± 0.2
AA590750	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.4 ± 0.5
AA592163	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	8.5 ± 1.0
AA673176	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.3 ± 0.2
AA673431	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.0 ± 0.1
C76791	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	1.8 ± 0.3
C77497	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.8 ± 0.5
C81593	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.2 ± 0.7
M13352	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.3 ± 0.1
M19438	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	5.9 ± 0.9
AA023099	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	13.7 ± 5.3
K02927	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.9 ± 0.4
M14223	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	4.4 ± 0.3
X15666	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	20.7 ± 3.3
U63337	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.3 ± 0.3
X75888	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	22.3 ± 6.2
X62154	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.1 ± 0.8
D26091	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.4 ± 0.1
AA690055	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.0 ± 0.1
AA692716	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	4.8 ± 1.2
X53068	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.6 ± 0.1
W20901	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.6 ± 0.8
D13544	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.3 ± 0.2
D12513	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.9 ± 1.3
D12513	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	6.5 ± 4.0
U04674	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.1 ± 0.5
L26320	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.0 ± 1.1
D13473	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.6 ± 0.5
U58633	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.4
AA008043	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	4.5 ± 0.5
Z26580	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.7 ± 0.2
X58708	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	4.5 ± 1.7
X66032	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.5 ± 0.5
X82786	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.7 ± 0.3
D49544	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	10.7 ± 9.9
U42385	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	4.5 ± 1.4
Z31235	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.9 ± 0.4
AA267955	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.3 ± 0.0
AF002823	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.3 ± 0.3
D55720	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.7 ± 2.7
Z46757	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	7.7 ± 1.5
U52951	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.1 ± 0.6
D21099	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	8.1 ± 2.2
AA711028	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.6 ± 0.5
U75680	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.4 ± 0.2
M26391	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.7 ± 0.6
U19596	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.0 ± 0.1
AA059527	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.9 ± 0.3
U69488	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.8 ± 0.5
AJ002390	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	9.9 ± 1.8
AA002747	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.3 ± 0.4
AA002925	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	7.2 ± 4.3
AA051276	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	6.0 ± 2.7
AA117100	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.1
AA154451	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.5 ± 0.4
AA184798	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.9 ± 0.1
AA189300	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.4 ± 1.0
AA189313	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.8 ± 0.2
AA200970	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.4 ± 0.0
AA266783	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.1 ± 0.7
AA285553	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	6.3 ± 3.3
AA407737	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	4.6 ± 1.3
AA426917	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.7 ± 0.6
AA516966	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	11.2 ± 6.0
AA561108	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.7 ± 0.2
AA590750	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.1 ± 0.3
AA590750	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.6 ± 0.2
AA592163	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	9.3 ± 0.9
AA673176	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.4 ± 0.2
AA673431	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.6 ± 0.6
C76791	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.7 ± 0.1
C77497	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.3 ± 1.5
C81593	E2f2	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.3 ± 0.5
ask	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/3
cdc6	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/3
cdc45l	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/2
mcm4	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/3
pcna	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/2
rfc	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/2
bapx1	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/4
csx	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	Medium/1.5
cdx2	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	Medium/1.5
hoxa5	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	Medium/1.5
hoxa9	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/2
msx-2	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/4
six-1	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	High/4
relb	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	Medium/-1.5
traf2	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	Medium/-1.5
traf6	E2f1	14562049		bone	EEE25 (U2OS derived)	Northern Blot	1	GAPDH	Medium/-1.5
